day,start time,duration,room name,track,title,participants
%Friday Afternoon,,,,,,
Sun,12:15 AM,1:40,Haym Solomon,Media,L'Odys�e d'Alice Trembley,
Fri,3:00 PM,9:00,Thomas Paine AB,Gaming,Open Gaming,
Fri,4:00 PM,1:28,Molly Pitcher,Media,Surrogates,
Fri,5:00 PM,4:00,Thomas Paine AB,Gaming,Low Life: After The Pocky Lisp - Savage Worlds,Matt McFarland
%Friday Evening,,,,,,
Fri,6:00 PM,1:00,Crispus Attucks,Costuming,Masquerade Basics,"Suford Lewis, Ann Catelli, The Wombat, Toni Lay, Danielle Ackley-McPhail"
Fri,6:00 PM,1:00,Fast Track 1,Fast Track,Build a Labyrinth,Jude Shabry
Fri,6:00 PM,1:45,Haym Solomon,Media,Island of Lost Souls,
Fri,6:00 PM,1:43,Molly Pitcher,Media,The President's Analyst ,
Fri,6:00 PM,1:00,Paul Revere A,Anime,Anime for Bakas,"James A. Wolf, Mario Di Giacomo, Mimi Noyes, John C. Watson, Elizabeth O'Malley"
Fri,6:00 PM,1:00,Paul Revere B,Fan Interest,"It's An Online Life, For Us!","Tony Finan, Alexander Feinman, John Bacon, Shava Nerad, Randee Dawn"
Fri,6:00 PM,1:00,President's A,Art,What is the Demoscene?,Jason Scott
Fri,6:00 PM,2:30,President's CD,Anime,Sayuru Anime Dance - Anime Kaiju Experience ,
Fri,6:00 PM,1:00,Room 201,Fan Interest,Feeding the Fen: Food Safety,"Rose Fox, Mercy E Van Vlack, Lisa Wood, Dr. James Prego"
Fri,6:00 PM,2:00,Thomas Paine AB,Gaming,NinjaBurger - table top game,William Mui
Fri,6:00 PM,1:00,William Dawes A,Fan Interest,Open Source and the Effect on Culture,"Sarah Smith, James Turner, David Larochelle, Ian Cooper Rose, Woodrow ""asim"" Hill"
Fri,7:00 PM,1:00,Crispus Attucks,Music,Filk 101: Introduction to Filk,"Kate Farb-Johnson, Ellen Kranzer, Hillary Sherwood, Catherine Kane"
Fri,7:00 PM,2:00,Fast Track 1,Fast Track,Kid's LARP,Michael McAfee
Fri,7:00 PM,1:00,Paul Revere A,Costuming,Getting Ideas for Costumes and Presentations,"Suford Lewis, Ann Catelli, Danielle Ackley-McPhail, Lisa A Ashton, Fiona Fawkes"
Fri,7:00 PM,1:00,Paul Revere B,Fan Interest,Early Adopters -- and Not,"Bonnie Barlow Turner, James Turner, David Larochelle, Justine Graykin"
Fri,7:00 PM,1:00,Room 201,Fan Interest,SMOF 250: The Future of Cons,"Michael Whitehouse, Evan Jamieson, JeffWarner, Nat Budin, Hugh Casey"
Fri,7:00 PM,4:00,Thomas Paine AB,Gaming,Agricola - For Beginners - table top game,Brennan Martin
Fri,7:00 PM,2:00,Thomas Paine AB,Gaming,Eclipse Phase demo - table top game,Jack Graham
Fri,7:00 PM,1:00,William Dawes A,Literature,Trauma as Character Development,"Amy Chused, Sarah Smith, Mark L Van Name, Shira Lipkin, Catt Kingsgrave-Ernstein"
Fri,7:00 PM,3:00,William Dawes B,Anime,Light Anime ,
Fri,7:30 PM,1:00,Other,Fan Interest,Summit Mt. Arisia,Jude Shabry
Fri,7:45 PM,1:15,Haym Solomon,Media,Red Dwarf 2009,
